,genre,runtime,content_rating,director,actor
115, 액션 , 121분 6초 , 15세이상관람가 ,이승준,"설경구, 문소리, 다니엘 헤니, 고창석, 한예리, 오대환"
116," 코미디, 드라마 ", 120분 27초 , 12세이상관람가 ,최성현,"이병헌, 윤여정, 박정민"
117, 범죄 , 115분 4초 , 15세이상관람가 ,박누리,"류준열, 유지태, 조우진, 손종학, 신재민, 조우진"
118," 범죄, 액션 ", 109분 41초 , 청소년관람불가 ,이원태,"마동석, 김무열, 김성규, 강문봉"
119," 드라마, 스릴러 ", 163분 0초 , 청소년관람불가 ,강우석,"정재영, 박해일, 유준상, 유선, 허준호, 유해진, 김상호, 김준배, 유준상"
120," 드라마, 액션 ", 147분 0초 , 15세관람가 ,강우석,"조재현, 안성기, 차인표, 문성근, 강신일, 이윤주"
121," 드라마, 전쟁 ", 120분 0초 , 12세이상관람가 ,이재한,"차승원, 권상우, 최승현, 김승우, 문재원"
122, 스릴러 , 118분 13초 , 15세이상관람가 ,안태진,"류준열, 유해진, 최무성"
123, 드라마 , 101분 48초 , 15세이상관람가 ,최정열,"마동석, 박정민, 정해인, 염정아, 최성은"
124, 코미디 , 118분 32초 , 12세이상관람가 ,김현석,"나문희, 이제훈"
125," 미스터리, 액션 ", 125분 37초 , 15세이상관람가 ,박훈정,"김다미, 조민수, 박희순, 최우식"
126," 코미디, 범죄 ", 116분 18초 , 15세이상관람가 ,이언희,"권상우, 성동일, 김수영, 김승필"
127, 드라마 , 149분 0초 , 15세관람가 ,강우석,"설경구, 정준호, 유해진"
128," 코미디, 액션 ", 115분 0초 , 15세이상관람가 ,조범구,"고창석, 강예원, 이민기, 김인권, 이건우"
129, 스릴러 , 112분 0초 , 18세관람가 ,박찬욱,"이영애, 최민식"
130," 드라마, 어드벤처, 액션 ", 121분 23초 , 15세이상관람가 ,김성수,"장혁, 수애, 박민하, 남문철"
131," 코미디, 드라마 ", 115분 26초 , 15세이상관람가 ,이병헌,"김우빈, 이준호, 강하늘"
132," 드라마, 액션, 범죄 ", 117분 0초 , 15세이상관람가 ,이연우,"김윤석, 정경호, 견미리, 선우선"
133," 코미디, 드라마 ", 111분 0초 , 12세이상관람가 ,김영탁,"차태현, 강예원, 이문수, 고창석, 장영남, 천보근"
134, 드라마 , 115분 0초 , 12세이상관람가 ,강대규,"김윤진, 나문희, 강예원, 이다희, 장영남, 박준면, 정수영, 임채연, 이선주"
135," 공포(호러), 멜로/로맨스, 코미디 ", 114분 0초 , 12세이상관람가 ,황인호,"손예진, 이민기, 신동훈"
136," 사극, 코미디, 멜로/로맨스 ", 124분 0초 , 청소년관람불가 ,김대우,"김주혁, 류승범, 조여정, 박영미, 문원주"
137," 코미디, 드라마 ", 109분 57초 , 12세이상관람가 ,권수경,"조정석, 도경수, 박신혜"
138, 드라마 , 128분 0초 , 청소년관람불가 ,봉준호,"김혜자, 원빈, 정영기"
139," 드라마, 스릴러 ", 122분 0초 , 12세이상관람가 ,박진표,"설경구, 김남주, 강동원"
140, 액션 , 123분 39초 , 청소년관람불가 ,곽경택,"유오성, 주진모, 김우빈"
141, 드라마 , 114분 0초 , 12세이상관람가 ,전윤수,"김강우, 이하나, 이태리, 임원희, 김성원, 정진"
142," 액션, 드라마 ", 135분 0초 , 15세이상관람가 ,조근현,"진구, 한혜진, 임슬옹, 배수빈, 이경영, 장광"
143," 드라마, 전쟁 ", 133분 0초 , 15세이상관람가 ,장훈,"신하균, 고수, 이제훈, 류승수, 고창석, 이다윗, 류승룡, 김옥빈, 조진웅, 정인기"
144, 다큐멘터리 , 77분 0초 , 전체관람가 ,이충렬,"최원균, 이삼순, 김민자"
145," 범죄, 액션 ", 124분 49초 , 청소년관람불가 ,나현,"한석규, 김래원"
146," 멜로/로맨스, 코미디 ", 109분 36초 , 15세이상관람가 ,김한결,"김래원, 공효진"
147, 드라마 , 135분 0초 , 12세이상관람가 ,엄유나,"유해진, 윤계상, 차준서, 정원, 송지호, 유순웅"
148," 드라마, 범죄 ", 107분 10초 , 15세이상관람가 ,곽경택,"김윤석, 유해진"
149," 액션, 드라마 ", 98분 5초 , 15세이상관람가 ,창,"류승룡, 유준상, 이진욱, 김성령, 조여정, 조은지, 김대명"
150, 멜로/로맨스 , 110분 3초 , 12세이상관람가 ,이석근,"박보영, 김영광"
151, 액션 , 137분 30초 , 15세이상관람가 ,박훈정,"신시아, 박은빈, 서은수, 진구, 성유빈, 조민수"
152," 액션, 스릴러 ", 119분 0초 , 청소년관람불가 ,정병길,"정재영, 박시후"
153," 범죄, 드라마 ", 119분 0초 , 청소년관람불가 ,류승완,"황정민, 류승범, 천호진"
154, 드라마 , 122분 30초 , 12세이상관람가 ,이준익,"설경구, 엄지원, 이레"
155, 멜로/로맨스 , 121분 0초 , 18세관람가 ,박진표,"전도연, 황정민, 나문희"
156," 멜로/로맨스, 코미디 ", 121분 0초 , 12세이상관람가 ,김현석,"엄태웅, 이민정, 최다니엘, 박신혜"
157," 공포(호러), 스릴러 ", 94분 11초 , 15세이상관람가 ,정범식,"위하준, 박지현, 오아연, 문예원, 이승욱, 류제윤"
158," 범죄, 스릴러 ", 118분 0초 , 15세이상관람가 ,원신연,"설경구, 김남길, 설현, 오달수"
159, 코미디 , 107분 0초 , 15세관람가 ,추창민,"김수미, 여운계, 이정진, 이문식, 오달수"
160," 사극, 멜로/로맨스 ", 122분 0초 , 청소년관람불가 ,김대승,"조여정, 김동욱, 김민준"
161," 드라마, 뮤지컬 ", 120분 26초 , 12세이상관람가 ,윤제균,"정성화, 김고은, 나문희, 조재윤, 배정남, 이현우, 박진주"
162," 코미디, 범죄 ", 119분 58초 , 15세이상관람가 ,김정훈,"권상우, 성동일"
163, 멜로/로맨스 , 131분 58초 , 12세이상관람가 ,이장훈,"소지섭, 손예진, 김선웅"
164, 코미디 , 128분 0초 , 15세관람가 ,정용기,"신현준, 김원희, 김수미, 탁재훈, 이승철"
165," 코미디, 멜로/로맨스 ", 118분 0초 , 12세이상관람가 ,김진영,"송새벽, 이시영, 백윤식, 김수미, 박철민"
166," 범죄, 액션 ", 132분 21초 , 청소년관람불가 ,김성수,"정우성, 황정민, 주지훈"
167," 범죄, 코미디 ", 115분 8초 , 15세이상관람가 ,김형주,"이성민, 조진웅, 김성균"
168," 범죄, 액션 ", 116분 24초 , 15세이상관람가 ,김홍선,"김우빈, 김영철, 고창석, 이현우, 조윤희, 임주환"
169," 코미디, 드라마 ", 132분 0초 , 전체관람가 ,장진,"장동건, 이순재, 고두심, 한채영, 임하룡"
170," 전쟁, 드라마 ", 148분 0초 , 15세관람가 ,강제규,"장동건, 원빈, 이은주, 조원희, 이장욱, 임성택"
171, 코미디 , 103분 0초 , 12세이상관람가 ,심형래,"심형래, 마이클 리스폴리, 하비 케이틀, 제이슨 미웨스, 조셀린 도나휴"
172, 드라마 , 129분 4초 , 12세이상관람가 ,이한,"정우성, 김향기, 정우성"
173," 드라마, 코미디 ", 113분 0초 , 15세이상관람가 ,윤제균,"하지원, 임창정, 정두홍"
174, 스릴러 , 111분 1초 , 15세이상관람가 ,조규장,"이성민, 김상호, 진경, 곽시양, 김수영"
175," 범죄, 액션 ", 126분 0초 , 15세이상관람가 ,박광현,"지창욱, 심은경, 안재홍"
176," 범죄, 드라마 ", 113분 20초 , 12세이상관람가 ,정지영,"조진웅, 이하늬"
177, 멜로/로맨스 , 120분 0초 , 15세이상관람가 ,정기훈,"고수, 한효주"
178, 드라마 , 120분 0초 , 15세관람가 ,송해성,"강동원, 이나영, 윤여정, 이재진"
179," 사극, 어드벤처, 코미디 ", 119분 37초 , 12세이상관람가 ,김석윤,"김명민, 오달수, 김지원, 김범, 김태윤"
180, 미스터리 , 117분 0초 , 15세이상관람가 ,변영주,"이선균, 김민희, 조성하, 김별"
181, 스릴러 , 110분 0초 , 청소년관람불가 ,김휘,"김윤진, 마동석, 천호진, 김성균, 김새론, 임하룡, 장영남, 도지한"
182, 드라마 , 118분 54초 , 15세이상관람가 ,김태윤,"정우, 강하늘, 김해숙, 이동휘, 한재영, 이경영"
183," 코미디, 액션 ", 109분 47초 , 15세이상관람가 ,최원섭,"권상우, 정준호, 황우슬혜, 이이경, 이지원"
184," 미스터리, 스릴러 ", 122분 49초 , 15세이상관람가 ,장재현,"이정재, 박정민, 이재인, 유지태"
185," 액션, 스릴러 ", 125분 11초 , 청소년관람불가 ,장준환,"여진구, 김윤석, 조진웅, 장현성, 김성균, 박해준, 임지은, 남지현"
186, 스릴러 , 123분 0초 , 15세이상관람가 ,손영성,"박희순, 장혁, 하정우, 허재호"
187, 코미디 , 103분 0초 , 15세이상관람가 ,정태원,"김수미, 신현준, 임형준, 정준하, 탁재훈, 현영"
188, 스릴러 , 111분 0초 , 청소년관람불가 ,안상훈,"김하늘, 유승호"
189, 드라마 , 128분 30초 , 12세이상관람가 ,이준익,"이제훈, 최희서, 김인우, 권율"
190," 사극, 드라마, 멜로/로맨스 ", 108분 0초 , 청소년관람불가 ,전윤수,"김민선, 김영호, 김남길, 채송화, 김규리"
191," 사극, 코미디 ", 139분 0초 , 18세관람가 ,김대우,"한석규, 이범수, 김민정, 서명석"
192, 멜로/로맨스 , 129분 0초 , 15세관람가 ,민규동,"황정민, 엄정화, 김유정, 김윤석, 진태현, 임창정, 정경호, 최원석, 김수로, 이은희, 서영희, 우현, 주현"
193," 스릴러, 멜로/로맨스 ", 106분 0초 , 청소년관람불가 ,임상수,"전도연, 이정재, 윤여정, 서우"
194," 스릴러, 액션, 범죄 ", 156분 0초 , 청소년관람불가 ,나홍진,"김윤석, 하정우, 조성하"
195," SF, 액션, 스릴러 ", 101분 0초 , 15세이상관람가 ,김지훈,"하지원, 박철민, 이한위, 오지호, 송새벽, 안성기"
196," 범죄, 드라마 ", 139분 47초 , 청소년관람불가 ,권오광,"박정민, 류승범, 최유화"
197," 공포(호러), 드라마 ", 133분 0초 , 청소년관람불가 ,박찬욱,"송강호, 김옥빈, 신하균"
198, 애니메이션 , 93분 0초 , 전체관람가 ,오성윤,"문소리, 박철민, 최민식, 유승호, 김상현"
199, 코미디 , 113분 56초 , 12세이상관람가 ,김지훈,"차승원, 김성균, 이광수, 권소현, 김혜준"
